org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Oakland,"['Portland on day 1', 'Medford on day 3', 'Eugene on day 5']",7.0,2022-03-12,2.0,"['shared room', 'smoking']","['Italian', 'Mediterranean']",,4500.0,"Would you kindly organize a 7-day trip for 2 individuals starting from Oakland? We plan to visit Portland on day 1, Medford on day 3, and Eugene on day 5. Our departure date is March 12th, 2022. We are looking for shared room accommodations that allow smoking. Our culinary preferences include Italian and Mediterranean cuisines. Our budget for this trip is $4500.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It seems that the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider, perhaps without smoking allowed?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. I'm sure we can find a great option that fits my needs without smoking allowed. Let's get creative with our choices!""}]"
Kansas City,,3.0,2022-03-27,1.0,,,,900.0,"I am planning a 3-day solo trip starting from Kansas City on March 27th, 2022. My budget for this trip is $900.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Decatur on day 1'], 'priority': 0, 'question': 'Which cities do you intend to visit during your 3-day solo trip, and on which days do you plan to arrive in each city?', 'answer': ""I'm so excited about my upcoming trip to Decatur on day 1! The thought of exploring a new city solo is both thrilling and liberating. I can't wait to immerse myself in the local culture and discover hidden gems off the beaten path. It's going to be an unforgettable adventure!""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Pensacola on day 1'], 'priority': 1, 'question': 'It seems Decatur is not accessible for your trip. Is there another destination you have in mind for your solo trip?', 'answer': 'Absolutely! Pensacola is my go-to choice for this solo adventure. The beaches there are just calling my name!'}]"
,"['Houston on day 1', 'San Antonio on day 3', 'Dallas on day 5']",7.0,2022-03-03,2.0,"['entire room', 'parties']","['Mexican', 'Italian', 'Chinese', 'American']",,2517.0,"I am planning a 7-day trip for 2 individuals, starting on March 3rd, 2022. Our itinerary includes visiting Houston on the 1st day, San Antonio on the 3rd day, and Dallas on the 5th day. We are looking for accommodations with an entire room that allows parties. Our culinary preferences include Mexican, Italian, Chinese, and American cuisines. Our budget for this trip is $2517.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Key West', 'priority': 0, 'question': 'Where will you be departing from for this 7-day trip you are planning?', 'answer': 'Key West is such a vibrant and charming place to start my journey from! The laid-back atmosphere and beautiful surroundings make it the perfect departure point for my upcoming adventure. I can already imagine the excitement of setting off from this picturesque location and beginning my 7-day trip filled with new experiences and discoveries.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 7200, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget slightly to meet the minimum requirements for the itinerary you've planned?"", 'answer': 'I can adjust the budget to $7,200.'}]"
Elmira,['Detroit on day 1'],3.0,,,"['entire room', 'pets']","['French', 'Mexican', 'American', 'Mediterranean']",,2200.0,"I am planning a 3-day trip starting from Elmira and heading to Detroit on day 1. Our accommodation preference is an entire room that allows pets. We have a budget of $2200 and are interested in trying out French, Mexican, American, and Mediterranean cuisines during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-25', 'priority': 0, 'question': 'When are you planning to depart for your 3-day trip from Elmira to Detroit?', 'answer': 'I plan to depart on March 25, 2022.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': ""We're a dynamic duo ready to explore the world together! It's just the two of us embarking on this exciting adventure.""}]"
,"['Belleville on day 1', 'Chicago on day 3']",5.0,2022-03-02,1.0,"['shared room', 'smoking']",,,,"Craft a 5-day travel plan for a solo traveler departing on March 2nd, 2022. The itinerary includes stops at Belleville on day 1 and Chicago on day 3. The traveler prefers shared accommodations and smoking is allowed.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Orlando', 'priority': 0, 'question': 'I can help with that! Just need to know the departure city for your trip. Could you please provide that information?', 'answer': 'Orlando'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 2700, 'priority': 0, 'question': 'To better tailor the travel plan, could you please specify the budget for the trip?', 'answer': 'The budget for the trip is $2700.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preferences you've specified might not be feasible for this trip. Is there a different type of accommodation you would consider for your travel plan?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. I'm flexible and willing to consider various options to make the most out of my travel experience.""}]"
Salt Lake City,['Burbank on day 1'],3.0,2022-03-12,7.0,['entire room'],,,1745.0,"Can you organize a 3-day trip for a group of seven starting from Salt Lake City and heading to Burbank on day 1? The departure date is March 12th, 2022, and our budget is $1745. We love to stay in entire accommodations.",medium,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 7600, 'priority': 0, 'question': ""It looks like the budget you've mentioned might be a bit low for the trip. Would you be willing to consider a slightly higher budget to make the trip possible?"", 'answer': 'I can adjust the budget to $7,600.'}]"
Detroit,"['Hancock on day 1', 'Appleton on day 4']",5.0,2022-03-01,2.0,"['entire room', 'parties']",,no self-driving,3200.0,"Create a 5-day travel plan for 2 individuals departing from Detroit on March 1st, 2022. The itinerary includes visiting Hancock on day 1 and Appleton on day 4. Our budget is set at $3200, and we prefer accommodations with an entire room that allows parties. Additionally, we will not be self-driving during our trip.",hard,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['La Crosse on day 1', 'Appleton on day 4'], 'priority': 0, 'question': 'It seems that Appleton is not accessible by any transportation methods. Is there another destination you would like to consider instead of Appleton?', 'answer': ""Absolutely, La Crosse is a fantastic alternative destination with so much to offer. The vibrant culture, beautiful scenery, and array of activities make it a great choice for a memorable trip. I'm really excited about the possibility of exploring all that La Crosse has to offer.""}]"
Sun Valley,"['San Diego on day 1', 'Redding on day 3']",5.0,,1.0,,,,2600.0,"Would you be able to organize a 5-day solo trip starting from Sun Valley? The itinerary should include visits to San Diego on day 1 and Redding on day 3, with a budget of $2600.",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-22', 'priority': 0, 'question': 'When are you planning to depart for your solo trip from Sun Valley?', 'answer': 'I plan to depart on March 22, 2022.'}]"
Fort Lauderdale,"['Houston on day 1', 'Dallas on day 3']",5.0,,,['parties'],"['Indian', 'Italian', 'Chinese', 'Mediterranean']",no self-driving,4200.0,"Would you kindly create a travel plan starting from Fort Lauderdale for a 5-day trip to Houston on day 1 and Dallas on day 3? Our budget is set at $4200, and we prefer accommodations that allow parties. We are interested in exploring Indian, Italian, Chinese, and Mediterranean cuisines during our journey. Additionally, we would like to avoid self-driving for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-05', 'priority': 0, 'question': 'When are you planning to depart from Fort Lauderdale for this 5-day trip to Houston and Dallas?', 'answer': 'I plan to depart from Fort Lauderdale on March 5, 2022.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'There will be a total of 2 people, including myself.'}]"
,"['Houston on day 1', 'San Antonio on day 3', 'Dallas on day 5']",7.0,2022-03-08,,"['not shared room', 'smoking']",,no flight,,"Can you organize a 7-day trip starting on March 8th, 2022, where we visit Houston on day 1, San Antonio on day 3, and Dallas on day 5? We are looking for accommodations that offer non-shared rooms and allow smoking. Additionally, we prefer not to use flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': ""We're a dynamic duo ready to embark on this adventure together!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 5000, 'priority': 0, 'question': 'To better tailor the trip to your preferences, could you please share the budget you have in mind for this 7-day journey?', 'answer': ""Absolutely, I'm really excited about this trip! I've been dreaming about exploring new destinations and immersing myself in different cultures. I believe that with a budget of $5000, we can make the most out of this 7-day journey and create unforgettable memories. I can't wait to see where this budget will take us and the amazing experiences we'll have along the way!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Albuquerque', 'priority': 0, 'question': ""I'm missing the departure city for your 7-day trip starting on March 8th, 2022. Where will you be departing from?"", 'answer': 'Albuquerque is such a vibrant city with its rich cultural heritage and stunning desert landscapes. I can already imagine soaking in the beauty of the Southwest before embarking on this exciting 7-day adventure starting on March 8th, 2022.'}]"
